"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2023-03-06","Pått","Vaasa","69500","havaittu, yli määritysrajan","","14813","","49448"
"2023-02-27","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","b","95373","","21694"
"2023-02-27","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","251900","","57159"
"2023-02-27","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14516","","14377"
"2023-02-27","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","34850","","40611"
"2023-02-27","Koko maa","Koko maa","","","","","","45844"
"2023-02-27","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","14502","","16149"
"2023-02-27","Taskila","Oulu","200000","havaittu, yli määritysrajan","","44631","","34204"
"2023-02-27","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","b","12284","","36993"
"2023-02-27","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","65059","","117879"
"2023-02-27","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","b","65831","","33615"
"2023-02-27","Pått","Vaasa","69500","havaittu, yli määritysrajan","","13749","","22088"
"2023-02-20","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","111529","","88363"
"2023-02-20","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","288701","","149162"
"2023-02-20","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14280","","19835"
"2023-02-20","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","34965","","97004"
"2023-02-20","Koko maa","Koko maa","","","","","","117045"
"2023-02-20","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15610","","46630"
"2023-02-20","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","11651","","56875"
"2023-02-20","Taskila","Oulu","200000","havaittu, yli määritysrajan","","45658","","64691"
"2023-02-20","Alheda","Pietarsaari","30500","havaittu, alle määritysrajan","","6795","","10135"
"2023-02-20","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","12336","","121520"
"2023-02-20","Seinäjoen keskuspuhdistamo","Seinäjoki","55000","havaittu, yli määritysrajan","","14872","","138938"
"2023-02-20","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","65406","","157922"
"2023-02-20","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","75441","","136646"
"2023-02-20","Pått","Vaasa","69500","havaittu, yli määritysrajan","","15383","","99010"
"2023-02-13","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","100470","","40497"
"2023-02-13","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","261910","","35164"
"2023-02-13","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14527","","11354"
"2023-02-13","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","35448","","62869"
"2023-02-13","Koko maa","Koko maa","","","","","","36809"
"2023-02-13","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","15336","","41472"
"2023-02-13","Taskila","Oulu","200000","havaittu, yli määritysrajan","","45519","","28192"
"2023-02-13","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","12205","","40105"
"2023-02-13","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","63537","","40995"
"2023-02-13","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","66298","","36258"
"2023-02-13","Pått","Vaasa","69500","havaittu, yli määritysrajan","","16420","","20804"
"2023-02-06","Blominmäki","Espoo","390000","havaittu, yli määritysrajan","","102709","","87627"
"2023-02-06","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","","277072","","76204"
"2023-02-06","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","","14449","","64913"
"2023-02-06","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","36446","","101232"
"2023-02-06","Koko maa","Koko maa","","","","","","87347"
